ingredient,source,skin_type,notes,confidence,effect
aqua water eau,manual,normal,solvent/base,high,neutral
2-hexanediol,manual,,,low,neutral
acrylates c10-30 alkyl acrylate crosspolymer,manual,normal,formulation,low,neutral
parfum fragrance,manual,sensitive,fragrance; may irritate,high,avoid
hydroxyethyl acrylate sodium acryloyldimethyl taurate copolymer,manual,normal,formulation,low,neutral
leuconostoc radish root ferment filtrate,manual,"pigmentation,wrinkle",ferment/probiotic,medium,good
ammonium acryloyldimethyltaurate vp copolymer,manual,normal,formulation,low,neutral
citral methyl anthranilate schiff base,manual,,,low,neutral
dimethicone vinyl dimethicone crosspolymer,manual,normal,formulation,low,neutral
alcohol denat,manual,"oily,sensitive",denat alcohol; can dry or irritate,high,avoid
pelargonium graveolens flower oil,manual,dry,emollient,low,good
sigesbeckia orientalis extract,manual,normal,botanical extract,low,good
citrus aurantium bergamia fruit oil,manual,dry,emollient,medium,good
citrus aurantium dulcis peel oil,manual,dry,emollient,low,good
yeast extract faex extrait de levure,manual,wrinkle,yeast,medium,good
parfum,manual,sensitive,fragrance; may irritate,high,avoid
dimethicone polyglycerin-3 crosspolymer,manual,"dry,normal",humectant,high,good
dimethicone peg-10 15 crosspolymer,manual,normal,formulation,low,neutral
hordeum vulgare extract extrait d'orge,manual,,,low,neutral
peg ppg-18 18 dimethicone,manual,normal,formulation,low,neutral
alpha-isomethyl ionone,manual,dry,humectant,high,good
capryloyl glycerin sebacic acid copolymer,manual,"dry,normal",humectant,high,good
citrus limon peel oil,manual,dry,emollient,low,good
vinyl dimethicone methicone silsesquioxane crosspolymer,manual,normal,formulation,low,neutral
polymethyl methacrylate,manual,normal,formulation,low,neutral
citrus grandis peel oil,manual,dry,emollient,low,good
citrus aurantium dulcis fruit extract,manual,"pigmentation,wrinkle",vitamin/antioxidant,low,good
red 4,manual,,,low,neutral
iron oxides (ci 77491,manual,normal,color,high,neutral
yeast amino acids,manual,,,low,neutral
aroma flavor,manual,sensitive,fragrance; may irritate,high,avoid
phytosteryl octyldodecyl lauroyl glutamate,manual,,,low,neutral
ci 77499),,,,low,neutral
sodium acrylate acryloyldimethyl taurate copolymer,manual,normal,formulation,low,neutral
rosmarinus officinalis leaf oil,manual,dry,emollient,low,good
saccharum officinarum extract,manual,normal,botanical extract,low,good
methyl methacrylate crosspolymer,manual,normal,formulation,low,neutral
propylene glycol dicaprate,manual,,,low,neutral
butylene ethylene copolymer,manual,normal,formulation,low,neutral
cetyl peg ppg-10 1 dimethicone,manual,normal,formulation,low,neutral
whey protein lactis protein proteine du petit-lait,manual,,,low,neutral
saccharomyces lysate extract,manual,"pigmentation,wrinkle",ferment/probiotic,medium,good
citrus limon fruit extract,manual,"pigmentation,wrinkle",vitamin/antioxidant,low,good
coco-caprylate caprate,manual,,,low,neutral
carthamus tinctorius seed oil,manual,dry,emollient,medium,good
lactobacillus portulaca oleracea ferment extract,manual,"pigmentation,wrinkle",ferment/probiotic,medium,good
ocimum sanctum leaf extract,manual,"dry,wrinkle",botanical extract,low,good
anthemis nobilis flower oil,manual,"dry,sensitive","soothing, anti-inflammatory",high,good
epilobium angustifolium flower leaf stem extract,manual,normal,botanical extract,low,good
hamamelis virginiana water,manual,"oily,sensitive","astringent, soothing",high,good
vitis vinifera fruit extract,manual,"pigmentation,wrinkle",vitamin/antioxidant,low,good
peg-200 hydrogenated castor oil ipdi copolymer,manual,normal,formulation,low,neutral
saccharomyces rice bran ferment filtrate extract,manual,"pigmentation,wrinkle",ferment/probiotic,medium,good
hdi trimethylol hexyllactone crosspolymer,manual,normal,formulation,low,neutral
camellia japonica seed oil aminopropanediol amides esters,manual,dry,emollient,medium,good
citrus paradisi,manual,,,low,neutral
citrus aurantium dulcis oil,manual,dry,emollient,low,good
styrene acrylates copolymer,manual,normal,formulation,low,neutral
no info,,,,low,neutral
paeonia suffruticosa root extract,manual,"sensitive,wrinkle",botanical,low,good
x c reticulata peel oil expressed,manual,dry,emollient,low,good
citrus aurantifolia peel extract,manual,normal,botanical extract,low,good
polyglyceryl-4 caprylate caprate,manual,,,low,neutral
methyl methacrylate trimethoxysilylpropyl methacrylate crosspolymer,manual,normal,formulation,low,neutral
simmondsia chinensis seed extract,manual,"dry,oily",balancing oil,high,good
saccharomyces cerevisiae extract,manual,"pigmentation,wrinkle",ferment/probiotic,medium,good
sodium acrylate sodium acryloyldimethyl taurate copolymer,manual,normal,formulation,low,neutral
yellow 6,manual,,,low,neutral
hydroxyproline,manual,,,low,neutral
hydrolyzed algin,manual,,,low,neutral
caprylic capric myristic stearic triglyceride,manual,,,low,neutral
vp eicosene copolymer,manual,normal,formulation,low,neutral
camellia oleifera seed oil hydrogenated camellia oleifera seed oil esters,manual,dry,emollient,medium,good
declustered water aqua eau de-structuree,manual,normal,solvent/base,high,neutral
gigartina stellata kappaphycus alvarezii extract,manual,normal,botanical extract,low,good
hydrogenated dimer dilinoleyl peg-41 poly -18 dimethyl ether,manual,normal,formulation,low,neutral
visit the dior boutique,,,,low,neutral
tasmannia lanceolata fruit leaf extract,manual,"dry,wrinkle",botanical extract,low,good
pogostemon cablin oil,manual,dry,emollient,low,good
chenopodium quinoa seed extract,manual,"dry,wrinkle",botanical,low,good
bambusa vulgaris leaf stem extract,manual,normal,botanical extract,low,good
mentha viridis leaf oil,manual,dry,humectant,high,good
propylene glycol dicaprylate dicaprate,manual,,,low,neutral
polyacrylate-13,manual,normal,formulation,low,neutral
polyglycerin-3,manual,"dry,normal",humectant,high,good
ppg-12 smdi copolymer,manual,normal,formulation,low,neutral
oryza sativa extract,manual,"dry,pigmentation","soothing, brightening",medium,good
citrus reticulata peel extract,manual,normal,botanical extract,low,good
lavandula hybrida oil,manual,sensitive,soothing (can irritate some),medium,good
phenoxyethanol * essential oil please be aware that ingredient lists may change or vary from time to time� please refer to the ingredient list on the product package you receive for the most up to date list of ingredients,manual,normal,preservative,medium,neutral
macadamia integrifolia tetraphylla seed oil,manual,dry,emollient,medium,good
agastache mexicana flower leaf stem extract,manual,normal,botanical extract,low,good
hippophae rhamnoides oil,manual,"dry,wrinkle","omega, vitamin",high,good
amyris balsamifera bark oil,manual,dry,emollient,low,good
molasses extract saccharum officinarum extrait de melasse,manual,,,low,neutral
glycine soja extract,manual,"pigmentation,wrinkle",antioxidant,medium,good
peg ppg-14 7 dimethyl ether,manual,normal,formulation,low,neutral
royal jelly extract,manual,"dry,wrinkle",nourishing,medium,good
dimethylacrylamide sodium acryloyldimethyltaurate crosspolymer,manual,normal,formulation,low,neutral
citrus nobilis peel oil,manual,dry,emollient,low,good
caprylyl caprylate caprate,manual,,,low,neutral
glyceryl acrylate acrylic acid copolymer,manual,normal,formulation,low,neutral
hamamelis virginiana extract,manual,"oily,sensitive","astringent, soothing",high,good
olea europaea fruit extract,manual,"pigmentation,wrinkle",vitamin/antioxidant,low,good
salvia officinalis leaf extract,manual,"dry,wrinkle",botanical extract,low,good
peg ppg-17 6 copolymer,manual,normal,formulation,low,neutral
glyceryl polyacrylate,manual,normal,formulation,low,neutral
daucus carota sativa root extract,manual,"sensitive,wrinkle",botanical,low,good
citrus medica limonum peel oil,manual,dry,emollient,low,good
jasminum officinale flower leaf extract,manual,"dry,wrinkle",botanical extract,low,good
potassium chloride,manual,normal,mineral,low,neutral
sea salt maris sal sel marin,manual,normal,mineral,low,neutral
ethylene acrylic acid copolymer,manual,normal,formulation,low,neutral
polyglyceryl-2 diisostearate ipdi copolymer,manual,normal,formulation,low,neutral
rosa canina fruit extract,manual,"dry,wrinkle","emollient, vitamin",high,good
palmitoyl hydroxypropyltrimonium amylopectin glycerin crosspolymer,manual,"dry,normal",humectant,high,good
cananga odorata flower oil,manual,dry,emollient,low,good
copper lysinate prolinate,manual,,,low,neutral
citrus medica limonum fruit extract,manual,"pigmentation,wrinkle",vitamin/antioxidant,low,good
t-butyl alcohol,manual,,,low,neutral
vitis vinifera juice extract,manual,normal,botanical extract,low,good
aesculus hippocastanum seed extract,manual,"dry,wrinkle",botanical,low,good
lactobacillus pumpkin fruit ferment filtrate,manual,"pigmentation,wrinkle",ferment/probiotic,medium,good
aloe barbadensis flower extract,manual,"dry,sensitive","soothing, hydrating",high,good
echinacea purpurea root extract,manual,dry,humectant,high,good
ci 77891 titanium dioxide,manual,normal,UV/color,high,neutral
cymbopogon martini oil,manual,dry,emollient,low,good
salvia sclarea oil,manual,dry,emollient,low,good
ribes nigrum seed oil,manual,dry,emollient,medium,good
phyllostachis bambusoides juice,manual,,,low,neutral
c12-20 alkyl glucoside,manual,,,low,neutral
stevia rebaudiana leaf stem extract,manual,normal,botanical extract,low,good
c12-16 alcohols,manual,,,low,neutral
cladosiphon okamuranus extract,manual,normal,botanical extract,low,good
pinus pinaster bark bud extract,manual,normal,botanical extract,low,good
citrus aurantifolia oil,manual,dry,emollient,low,good
diphenylsiloxy phenyl trimethicone,manual,,,low,neutral
candelilla jojoba rice bran polyglyceryl-3 esters,manual,"dry,oily",balancing oil,high,good
glycosyl trehalose,manual,dry,humectant,medium,good
alcaligenes polysaccharides,manual,,,low,neutral
pseudoalteromonas ferment extract,manual,"pigmentation,wrinkle",ferment/probiotic,medium,good
prunus amygdalus dulcis seed extract,manual,"dry,wrinkle",botanical,low,good
paeonia albiflora root extract,manual,"sensitive,wrinkle",botanical,low,good
rosa damascena extract,manual,"dry,sensitive","soothing, antioxidant",medium,good
polyglyceryl-2 diisostearate,manual,,,low,neutral
lactobacillus lycium chinense fruit extract ferment filtrate,manual,"pigmentation,wrinkle",ferment/probiotic,medium,good
citrus limon peel extract,manual,normal,botanical extract,low,good
olive oil olive fruit oil,manual,dry,emollient,medium,good
ascophyllum nodosum extract,manual,normal,botanical extract,low,good
hydrolyzed wheat protein pvp crosspolymer,manual,normal,formulation,low,neutral
dimethicone bis-isobutyl ppg-20 crosspolymer,manual,normal,formulation,low,neutral
green 5,manual,,,low,neutral
sodium phosphate,manual,,,low,neutral
aniba rosaeodora wood oil,manual,dry,emollient,low,good
visit the shiseido boutique,,,,low,neutral
sanguisorba officinalis root extract,manual,"sensitive,wrinkle",botanical,low,good
glyceryl behenate eicosadioate,manual,,,low,neutral
perilla ocymoides leaf extract,manual,"dry,wrinkle",botanical extract,low,good
opuntia tuna flower stem extract,manual,normal,botanical extract,low,good
lavandula angustifolia flower leaf stem extract,manual,sensitive,soothing (can irritate some),medium,good
dipentaerythrityl hexacaprylate hexacaprate,manual,,,low,neutral
daucus carota sativa seed oil,manual,dry,emollient,medium,good
camellia japonica seed oil,manual,dry,emollient,medium,good
peg-9 polydimethylsiloxyethyl dimethicone,manual,normal,formulation,low,neutral
mentha piperita leaf urtica dioica leaf extract,manual,dry,humectant,high,good
sh-polypeptide-1,manual,wrinkle,signal peptide,medium,good
camellia oleifera seed oil,manual,dry,emollient,medium,good
sh-oligopeptide-1,manual,wrinkle,signal peptide,medium,good
disodium stearoyl glutamate,manual,,,low,neutral
polyglyceryl-2 isostearate dimer dilinoleate copolymer,manual,normal,formulation,low,neutral
pvm ma decadiene crosspolymer,manual,normal,formulation,low,neutral
sanguisorba officinalis root stalk powder,manual,,,low,neutral
boswellia carterii oil,manual,dry,emollient,low,good
hamamelis virginiana leaf extract,manual,"oily,sensitive","astringent, soothing",high,good
artemisia princeps leaf extract,manual,"dry,wrinkle",botanical extract,low,good
lavandula angustifolia extract,manual,sensitive,soothing (can irritate some),medium,good
p-anisic acid,manual,,,low,neutral
raspberry seed oil tocopheryl succinate aminopropanediol esters,manual,dry,emollient,medium,good
lactobacillus pumpkin ferment extract,manual,"pigmentation,wrinkle",ferment/probiotic,medium,good
helianthus annuus seed extract,manual,dry,emollient,medium,good
octyldodecyl dilinoleic acid propanediol copolymer,manual,normal,formulation,low,neutral
visit the sephora collection boutique,,,,low,neutral
carthamus tinctorius oleosomes,manual,,,low,neutral
acrylates carbamate copolymer,manual,normal,formulation,low,neutral
sh-oligopeptide-2,manual,wrinkle,signal peptide,medium,good
polyglyceryl-3 polydimethylsiloxyethyl dimethicone,manual,normal,formulation,low,neutral
ethyl linoleate,manual,,,low,neutral
sodium propoxyhydroxypropyl thiosulfate silica,manual,,,low,neutral
moringa pterygosperma seed extract,manual,"dry,wrinkle",botanical,low,good
sh-polypeptide-9,manual,wrinkle,signal peptide,medium,good
polyglyceryl-10 oleate,manual,,,low,neutral
hippophae rhamnoides extract,manual,"dry,wrinkle","omega, vitamin",high,good
theobroma cacao extract,manual,normal,botanical extract,low,good
prunus mume fruit extract,manual,"pigmentation,wrinkle",vitamin/antioxidant,low,good
citrus aurantium amara flower water,manual,"dry,sensitive",botanical,low,good
methyl methacrylate glycol dimethacrylate crosspolymer,manual,normal,formulation,low,neutral
visit the lancôme boutique,,,,low,neutral
peg ppg-17 4 dimethyl ether,manual,normal,formulation,low,neutral
kappaphycus alvarezii extract,manual,normal,botanical extract,low,good
symphytum officinale leaf extract,manual,"dry,wrinkle",botanical extract,low,good
coleus barbatus extract,manual,normal,botanical extract,low,good
ceteth-20,manual,,,low,neutral
litsea cubeba fruit oil,manual,dry,emollient,medium,good
anthemis nobilis,manual,"dry,sensitive","soothing, anti-inflammatory",high,good
angelica keiskei leaf stem extract,manual,normal,botanical extract,low,good
peg-6 caprylic capric glycerides,manual,normal,formulation,low,neutral
ocimum basilicum flower leaf extract,manual,"dry,wrinkle",botanical extract,low,good
padina pavonica thallus extract,manual,normal,botanical extract,low,good
lactobacillus papaya fruit ferment extract,manual,"pigmentation,wrinkle",ferment/probiotic,medium,good
avobenzone 300%,manual,,,low,neutral
bacillus sea salt ferment extract filtrate,manual,"pigmentation,wrinkle",ferment/probiotic,medium,good
saccharomyces xylinum black tea ferment,manual,"pigmentation,wrinkle",ferment/probiotic,medium,good
dimethicone silylate,manual,normal,formulation,low,neutral
vaccinium myrtillus fruit leaf extract,manual,"dry,wrinkle",botanical extract,low,good
eucalyptus globulus leaf extract,manual,"dry,wrinkle",botanical extract,low,good
inulin lauryl carbamate,manual,,,low,neutral
camellia sinensis leaf powder,manual,"oily,wrinkle",antioxidant,high,good
hydroxypropyl bispalmitamide mea,manual,,,low,neutral
peg-14m,manual,normal,formulation,low,neutral
aloe barbadensis leaf water,manual,"dry,sensitive","soothing, hydrating",high,good
phytosteryl behenyl dimer dilinoleate,manual,,,low,neutral
lavender oil,manual,sensitive,soothing (can irritate some),medium,good
lycium chinense fruit extract,manual,"pigmentation,wrinkle",vitamin/antioxidant,low,good
isodonis japonicus leaf stalk extract,manual,normal,botanical extract,low,good
dimethicone crosspolymer-3,manual,normal,formulation,low,neutral
arginine lysine polypeptide,manual,wrinkle,signal peptide,medium,good
sodium acryloyldimethyl taurate copolymer,manual,normal,formulation,low,neutral
octinoxate 75%,manual,,,low,neutral
microcitrus australasica fruit extract,manual,"pigmentation,wrinkle",vitamin/antioxidant,low,good
gardenia florida fruit extract,manual,"pigmentation,wrinkle",vitamin/antioxidant,low,good
leontopodium alpinum flower leaf extract,manual,"dry,wrinkle",botanical extract,low,good
lactobacillus soybean ferment extract,manual,"pigmentation,wrinkle",ferment/probiotic,medium,good
angelica acutiloba root extract,manual,"sensitive,wrinkle",botanical,low,good
saccharomyces magnesium ferment hydrolysate,manual,"pigmentation,wrinkle",ferment/probiotic,medium,good
santalum album oil,manual,dry,emollient,low,good
phytosteryl canola glycerides,manual,,,low,neutral
morus alba fruit extract,manual,pigmentation,brightening,medium,good
betula alba extract,manual,normal,botanical extract,low,good
ext violet 2,manual,,,low,neutral
citrus paradisi peel oil,manual,dry,emollient,low,good
citrus aurantium dulcis peel extract,manual,normal,botanical extract,low,good
saccharomyces copper ferment lysate filtrate,manual,"pigmentation,wrinkle",ferment/probiotic,medium,good
beheneth-20,manual,,,low,neutral
bacillus soybean ferment extract,manual,"pigmentation,wrinkle",ferment/probiotic,medium,good
camellia sinensis leaf water,manual,"oily,wrinkle",antioxidant,high,good
avobenzone 30%,manual,,,low,neutral
tocopheryl linoleate oleate,manual,"dry,wrinkle",antioxidant,high,good
peg-240 hdi copolymer bis-decyltetradeceth-20 ether,manual,normal,formulation,low,neutral
cucumber fruit extract,manual,"dry,sensitive","soothing, hydrating",medium,good
corn starch,manual,,,low,neutral
octisalate 500%,manual,,,low,neutral
citrus aurantium amara peel extract,manual,normal,botanical extract,low,good
laureth-12,manual,,,low,neutral
acrylates steareth-20 methacrylate copolymer,manual,normal,formulation,low,neutral
olea europaea oil,manual,dry,emollient,medium,good
eugenia caryophyllus leaf oil,manual,dry,emollient,low,good
hydrolyzed yeast protein,manual,,,low,neutral
bacillus prunus mume fruit extract ferment filtrate,manual,"pigmentation,wrinkle",ferment/probiotic,medium,good
sodium sulfate,manual,,,low,neutral
ppg-6-decyltetradeceth-30,manual,normal,formulation,low,neutral
biotin folic acid cyanocobalamin niacinamide pantothenic acid pyridoxine riboflavin thiamine yeast polypeptides,manual,"oily,pigmentation","brightening, barrier",high,good
polymethylsilsesquioxane silica crosspolymer,manual,normal,formulation,low,neutral
centaurea cyanus flower extract,manual,dry,humectant,high,good
dimethyl sulfone,manual,,,low,neutral
camellia sinensis leaf,manual,"oily,wrinkle",antioxidant,high,good
sucrose palmitate,manual,,,low,neutral
vanillin,manual,,,low,neutral
iron oxide,manual,normal,color,high,neutral
aroma,manual,,,low,neutral
leuconostoc ferment filtrate,manual,"pigmentation,wrinkle",ferment/probiotic,medium,good
saccharomyces camellia sinensis leaf cladosiphon okamuranus rice ferment filtrate,manual,"pigmentation,wrinkle",ferment/probiotic,medium,good
mangifera indica fruit extract,manual,"pigmentation,wrinkle",vitamin/antioxidant,low,good
iron oxides (ci 77492,manual,normal,color,high,neutral
glyceryl undecylenate,manual,,,low,neutral
poloxamer 338,manual,,,low,neutral
chondrus crispus powder,manual,,,low,neutral
natural fragrance,manual,sensitive,fragrance; may irritate,high,avoid
adipic acid neopentyl glycol crosspolymer,manual,normal,formulation,low,neutral
jojoba wax peg-120 esters,manual,"dry,oily",balancing oil,high,good
brassica campestris aleurites fordi oil copolymer,manual,normal,formulation,low,neutral
gardenia tahitensis flower extract,manual,"dry,sensitive",botanical,low,good
ci 42090 blue 1,manual,,,low,neutral
salvia officinalis oil,manual,dry,emollient,low,good
lauryl peg ppg-18 18 methicone,manual,normal,formulation,low,neutral
ci 77499)],,,,low,neutral
cinnamomum camphora bark oil,manual,dry,emollient,low,good
foeniculum vulgare seed extract,manual,"dry,wrinkle",botanical,low,good
hydroxyethyl acrylate,manual,normal,formulation,low,neutral
sucrose tetrastearate triacetate,manual,,,low,neutral
honey mel miel,manual,"dry,sensitive","humectant, soothing",medium,good
viola odorata flower leaf extract,manual,"dry,wrinkle",botanical extract,low,good
opuntia ficus-indica extract,manual,normal,botanical extract,low,good
visit the perricone md boutique,,,,low,neutral
cetyl phosphate,manual,,,low,neutral
illicium verum fruit seed oil,manual,dry,emollient,medium,good
glycolipids,manual,,,low,neutral
octinoxate 750%,manual,,,low,neutral
melissa officinalis leaf extract,manual,"dry,wrinkle",botanical extract,low,good
tyrosine,manual,,,low,neutral
magnesium oxide,manual,normal,mineral,low,neutral
sodium starch octenylsuccinate,manual,,,low,neutral
ingredients from organic farming **clinical grade essential oils blend,manual,,,low,neutral
leptospermum scoparium branch leaf oil,manual,dry,emollient,low,good
macadamia integrifolia seed oil,manual,dry,emollient,medium,good
hydrogenated styrene isoprene copolymer,manual,normal,formulation,low,neutral
sesamum indicum seed extract,manual,"dry,wrinkle",botanical,low,good
hydrolyzed phyllostachis bambusoides,manual,,,low,neutral
polysilicone-2,manual,,,low,neutral
peg-11 methyl ether dimethicone,manual,normal,formulation,low,neutral
pvp hexadecene copolymer,manual,normal,formulation,low,neutral
gellidiella acerosa extract,manual,normal,botanical extract,low,good
eugenia caryophyllus bud oil,manual,dry,emollient,low,good
caprylic capric glycerides polyglyceryl-10 esters,manual,dry,emollient,low,good
visit the estée lauder boutique,,,,low,neutral
visit the philosophy boutique,,,,low,neutral
geranium maculatum oil,manual,dry,emollient,low,good
anigozanthos flavidus flower leaf extract,manual,"dry,wrinkle",botanical extract,low,good
poly c10-30 alkyl acrylate,manual,normal,formulation,low,neutral
polyglyceryl-2 dipolyhydroxystearate,manual,,,low,neutral
pinus pinaster bark extract,manual,wrinkle,antioxidant,low,good
citronnellol,manual,,,low,neutral
chamomilla recutita flower oil,manual,"dry,sensitive","soothing, anti-inflammatory",high,good
ptychopetalum olacoides bark stem extract,manual,normal,botanical extract,low,good
magnesium aluminum sylicate,manual,normal,mineral,low,neutral
rice amino acids,manual,,,low,neutral
rosmarinus officinalis,manual,,,low,neutral
isocetyl stearoyl stearate,manual,,,low,neutral
iris florentina root extract,manual,"sensitive,wrinkle",botanical,low,good
